Generated on: ,11/22/24 @ 8:11am,,,,,,,
Date Interval:,08/21/2023 - 01/21/2024,,,,,,,
Flagged Check-In:,"Agreement - Signature Required, Expired credit card, Health screening requires review, Incorrect Check-in location selected, Missing liability waiver, No flag, Restricted by Check-in Rules, Undeliverable Email on File",,,,,,,
,,,,,,,,
Time Of Day,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Totals
05:45am - 06:44am,0,1589,1727,1625,1584,1218,0,7743
06:45am - 07:44am,2,1546,1466,1523,1335,1023,3,6898
07:45am - 08:44am,1,1663,1646,1658,1579,1086,3,7636
08:45am - 09:44am,868,1762,2242,1799,2337,1119,726,10853
09:45am - 10:44am,1110,2020,1911,2058,1772,1599,929,11399
10:45am - 11:44am,1198,1895,2135,1916,1979,1668,832,11623
11:45am - 12:44pm,1234,1866,2045,1734,1864,1660,842,11245
12:45pm - 01:44pm,1217,1898,1795,1849,1661,1625,783,10828
01:45pm - 02:44pm,1337,2278,2435,2108,2237,2024,911,13330
02:45pm - 03:44pm,1416,2450,2807,2336,2505,2415,1046,14975
03:45pm - 04:44pm,1678,3120,2831,2787,2352,2387,962,16117
04:45pm - 05:44pm,2070,3678,3615,3444,3390,2497,951,19645
05:45pm - 06:44pm,2344,3475,3337,3342,3087,2249,854,18688
06:45pm - 07:44pm,1837,3419,3672,3035,3148,1712,582,17405
07:45pm - 08:44pm,1871,3367,3586,3097,3112,1408,558,16999
08:45pm - 09:44pm,1350,2530,2839,2564,1909,1007,418,12617
09:45pm - 10:44pm,796,1580,1504,1796,1284,452,173,7585
10:45pm - 10:59pm,116,217,197,255,195,1,2,983
