Generated on: ,11/22/24 @ 8:11am,,,,,,,
Date Interval:,01/22/2024 - 05/19/2024,,,,,,,
Flagged Check-In:,"Agreement - Signature Required, Expired credit card, Health screening requires review, Incorrect Check-in location selected, Missing liability waiver, No flag, Restricted by Check-in Rules, Undeliverable Email on File",,,,,,,
,,,,,,,,
Time Of Day,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Totals
05:45am - 06:44am,0,1302,1313,1269,1213,851,0,5948
06:45am - 07:44am,0,1381,1205,1138,1084,684,0,5492
07:45am - 08:44am,5,1525,1778,1498,1523,982,1,7312
08:45am - 09:44am,561,1606,2182,1549,1859,1243,883,9883
09:45am - 10:44am,893,1797,1511,1650,1413,1530,1021,9815
10:45am - 11:44am,851,1616,1674,1525,1606,1281,1044,9597
11:45am - 12:44pm,962,2013,1790,1647,1679,1465,914,10470
12:45pm - 01:44pm,1025,2013,1623,1825,1382,1514,963,10345
01:45pm - 02:44pm,959,2096,2076,1865,1822,1739,987,11544
02:45pm - 03:44pm,1053,2497,2374,2036,2237,2092,1109,13398
03:45pm - 04:44pm,1236,2506,2311,2339,2052,1924,1129,13497
04:45pm - 05:44pm,1756,3361,3519,3703,3194,2198,1130,18861
05:45pm - 06:44pm,2071,3131,3275,2958,2658,1891,1042,17026
06:45pm - 07:44pm,1681,3279,3362,2831,3169,1342,846,16510
07:45pm - 08:44pm,1713,3402,3441,3003,2905,1239,760,16463
08:45pm - 09:44pm,1337,2677,2799,2420,1897,890,624,12644
09:45pm - 10:44pm,1021,1802,1575,1624,1214,359,252,7847
10:45pm - 10:59pm,98,151,147,220,149,16,2,783
