Generated on: ,11/22/24 @ 8:11am,,,,,,,
Date Interval:,05/20/2024 - 08/18/2024,,,,,,,
Flagged Check-In:,"Agreement - Signature Required, Expired credit card, Health screening requires review, Incorrect Check-in location selected, Missing liability waiver, No flag, Restricted by Check-in Rules, Undeliverable Email on File",,,,,,,
,,,,,,,,
Time Of Day,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Totals
05:45am - 06:44am,0,274,303,349,362,283,0,1571
06:45am - 07:44am,0,147,162,179,152,114,0,754
07:45am - 08:44am,0,144,200,170,164,124,0,802
08:45am - 09:44am,213,131,175,171,147,126,288,1251
09:45am - 10:44am,291,205,214,202,237,195,316,1660
10:45am - 11:44am,222,235,220,231,239,244,272,1663
11:45am - 12:44pm,213,288,245,274,240,224,212,1696
12:45pm - 01:44pm,287,194,221,206,210,221,233,1572
01:45pm - 02:44pm,386,214,232,225,220,216,257,1750
02:45pm - 03:44pm,344,302,322,360,224,294,252,2098
03:45pm - 04:44pm,391,463,520,482,424,525,307,3112
04:45pm - 05:44pm,491,887,883,802,734,669,373,4839
05:45pm - 06:44pm,388,782,776,679,551,573,342,4091
06:45pm - 07:44pm,232,581,486,463,472,298,184,2716
07:45pm - 08:44pm,7,256,252,207,234,14,4,974
08:45pm - 09:44pm,0,4,3,0,0,0,0,7
09:45pm - 10:44pm,0,0,0,0,0,0,0,0
10:45pm - 10:59pm,0,0,0,0,0,0,0,0
