Generated on: ,11/22/24 @ 8:11am,,,,,,,
Date Interval:,08/21/2023 - 01/21/2024,,,,,,,
Flagged Check-In:,"Agreement - Signature Required, Expired credit card, Health screening requires review, Incorrect Check-in location selected, Missing liability waiver, No flag, Restricted by Check-in Rules, Undeliverable Email on File",,,,,,,
,,,,,,,,
Time Of Day,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Totals
05:45am - 06:44am,0,840,955,869,763,597,0,4024
06:45am - 07:44am,0,798,747,732,617,487,0,3381
07:45am - 08:44am,0,542,636,684,592,436,0,2890
08:45am - 09:44am,318,559,696,650,707,513,630,4073
09:45am - 10:44am,366,717,806,806,860,639,793,4987
10:45am - 11:44am,367,845,1032,887,895,798,680,5504
11:45am - 12:44pm,384,797,840,889,782,857,504,5053
12:45pm - 01:44pm,378,723,750,799,650,825,474,4599
01:45pm - 02:44pm,441,859,966,972,860,823,468,5389
02:45pm - 03:44pm,382,1139,1265,1167,1090,1026,452,6521
03:45pm - 04:44pm,397,1217,1469,1418,1265,1286,345,7397
04:45pm - 05:44pm,409,1206,1735,1328,1319,881,326,7204
05:45pm - 06:44pm,360,1173,1537,1290,1244,745,313,6662
06:45pm - 07:44pm,410,1210,1182,1178,829,436,277,5522
07:45pm - 08:44pm,252,1071,821,850,647,269,204,4114
08:45pm - 09:44pm,99,579,622,584,356,118,67,2425
09:45pm - 10:44pm,0,130,99,126,95,5,2,457
10:45pm - 10:59pm,0,3,0,0,0,0,0,3
