Generated on: ,11/22/24 @ 8:11am,,,,,,,
Date Interval:,05/20/2024 - 08/18/2024,,,,,,,
Flagged Check-In:,"Agreement - Signature Required, Expired credit card, Health screening requires review, Incorrect Check-in location selected, Missing liability waiver, No flag, Restricted by Check-in Rules, Undeliverable Email on File",,,,,,,
,,,,,,,,
Time Of Day,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Totals
05:45am - 06:44am,0,207,241,182,182,158,0,970
06:45am - 07:44am,0,107,121,111,94,98,0,531
07:45am - 08:44am,0,93,118,115,101,117,0,544
08:45am - 09:44am,15,145,133,152,112,149,19,725
09:45am - 10:44am,18,175,151,155,101,159,19,778
10:45am - 11:44am,15,281,197,223,161,197,15,1089
11:45am - 12:44pm,20,233,224,231,173,222,25,1128
12:45pm - 01:44pm,26,190,134,140,100,164,12,766
01:45pm - 02:44pm,29,158,164,137,123,152,30,793
02:45pm - 03:44pm,30,180,157,184,130,176,35,892
03:45pm - 04:44pm,0,332,371,301,288,228,0,1520
04:45pm - 05:44pm,0,493,492,436,363,323,0,2107
05:45pm - 06:44pm,0,533,625,470,435,302,0,2365
06:45pm - 07:44pm,0,220,235,185,155,100,0,895
07:45pm - 08:44pm,0,1,1,1,1,3,0,7
08:45pm - 09:44pm,0,0,0,0,0,0,0,0
09:45pm - 10:44pm,0,0,0,0,0,0,0,0
10:45pm - 10:59pm,0,0,0,0,0,0,0,0
